Country Name,Country Code,Year,Value
Qatar,QAT,2014,211816758241.758
Romania,ROU,2014,199043652215.454
Russian Federation,RUS,2014,1860597922763.44
Rwanda,RWA,2014,7890190336.74963
Samoa,WSM,2014,800586671.241101
San Marino,SMR,2008,1899879955.48332
Sao Tome and Principe,STP,2014,334902362.05695
Saudi Arabia,SAU,2014,746248533333.333
Senegal,SEN,2014,15578916865.3864
Serbia,SRB,2014,43866423166.9368
Seychelles,SYC,2014,1405764157.88183
Sierra Leone,SLE,2014,4892363979.22805
Singapore,SGP,2014,307871907185.983
Slovak Republic,SVK,2014,99790145652.7711
Slovenia,SVN,2014,49416055609.2127
Solomon Islands,SLB,2014,1158183053.76032
Somalia,SOM,1990,917044253.990258
South Africa,ZAF,2014,349817096206.474
South Sudan,SSD,2014,13069991258.2682
Spain,ESP,1960,12072126075.397
Spain,ESP,2014,1404306536057.92
Sri Lanka,LKA,2014,74941183241.9535
St. Kitts and Nevis,KNA,2014,833333333.333333
St. Lucia,LCA,2014,1365426555.55556
St. Vincent and the Grenadines,VCT,2014,728696703.703704
Sudan,SDN,2014,73815376184.622
Suriname,SUR,2013,5298787878.78788
Swaziland,SWZ,2014,3400422936.22785
Sweden,SWE,2014,570591266159.776
Switzerland,CHE,2013,685434208916.934
Syrian Arab Republic,SYR,2007,40405006007.2086
Tajikistan,TJK,2014,9241627840.60748
Tanzania,TZA,2014,49183884817.4917
Thailand,THA,2014,373804134911.797
Timor-Leste,TLS,2014,1552000000
Togo,TGO,2014,4518443907.44505
Tonga,TON,2014,434386307.693101
Trinidad and Tobago,TTO,2013,24433812700.3709
Tunisia,TUN,2013,46994804035.7204
Turkey,TUR,2014,799534963353.895
Turkmenistan,TKM,2014,47931929824.5614
Tuvalu,TUV,2013,38322359.5288666
Uganda,UGA,2014,26312399301.4086
Ukraine,UKR,2014,131805126738.287
United Arab Emirates,ARE,2014,401646583173.427
United Kingdom,GBR,2014,2941885537461.48
United States,USA,2014,17419000000000
Uruguay,URY,2014,57471277325.1312
Uzbekistan,UZB,2014,62643953021.7594
Vanuatu,VUT,2013,801787555.861121
"Venezuela, RB",VEN,2014,509964084931.332
Vietnam,VNM,2014,186204652922.262
Virgin Islands (U.S.),VIR,1993,1996000000
West Bank and Gaza,PSE,2014,12737613125.0175
"Yemen, Rep.",YEM,2013,35954502303.5041
Zambia,ZMB,2014,27066230009.1016
Zimbabwe,ZWE,2014,13663314279.6683
